Type,Area,Latitude,Longitude,Coordinates,Price(CZK),Region
1+kk,43,50.029,14.3622,"(50.029, 14.3623)",4274096,Praha 5
3+kk,75,50.056,14.4414,"(50.056, 14.4414)",7990000,Praha 4
2+1,71,50.1036,14.3994,"(50.1036, 14.3995)",8900000,Praha 6
1+kk,27,50.093,14.3773,"(50.0931, 14.3773)",3299000,Praha 6
4+kk,100,50.061,14.4318,"(50.061, 14.4318)",9490000,Praha 4
3+kk,193,49.9601,14.3537,"(49.9601, 14.3538)",9590000,Lipence
3+1,74,50.0667,14.3678,"(50.0668, 14.3679)",5300000,Praha 5
2+kk,48,50.092,14.4496,"(50.0921, 14.4496)",8000000,Praha 8
5+kk,202,50.0985,14.4019,"(50.0985, 14.402)",18500000,Praha 6
4+kk,77,50.1043,14.5854,"(50.1044, 14.5854)",7269000,Praha 14
4+1,68,50.0515,14.437,"(50.0515, 14.4371)",6590000,Praha 4
1+kk,40,50.0953,14.4535,"(50.0954, 14.4536)",5490000,Praha 8
3+1,68,50.0515,14.437,"(50.0515, 14.4371)",6590000,Praha 4
1+kk,39,50.0434,14.4915,"(50.0435, 14.4915)",4039497,Praha 4
2+kk,54,50.0434,14.4914,"(50.0435, 14.4915)",5394411,Praha 4
3+kk,79,50.0434,14.4914,"(50.0435, 14.4915)",7878371,Praha 4
4+kk,75,50.1057,14.5656,"(50.1057, 14.5656)",6939000,Praha 14
3+kk,77,50.1069,14.5102,"(50.107, 14.5102)",7139000,Praha 9
3+kk,77,50.1043,14.5854,"(50.1044, 14.5854)",7119000,Praha 14
2+kk,62,50.0683,14.4042,"(50.0683, 14.4042)",8428000,Praha 5
2+kk,52,50.0829,14.4517,"(50.0829, 14.4518)",6985000,Praha 3
3+kk,71,50.0695,14.374,"(50.0695, 14.374)",7000000,Praha 5
1+kk,71,50.1386,14.5182,"(50.1387, 14.5182)",4150000,Praha 18
4+kk,174,50.0166,14.5815,"(50.0167, 14.5816)",10490000,Praha 22
1+kk,37,50.1057,14.5656,"(50.1057, 14.5656)",3569000,Praha 14
3+kk,105,50.0417,14.5518,"(50.0418, 14.5519)",7100000,Praha 15
2+kk,54,50.1069,14.5102,"(50.107, 14.5102)",4799000,Praha 9
5+kk,235,50.0833,14.4139,"(50.0833, 14.4139)",79000000,Praha 1
1+kk,36,50.0135,14.3998,"(50.0136, 14.3998)",4159000,Praha 12
2+kk,54,50.0066,14.4524,"(50.0067, 14.4525)",4150000,Praha 12
2+kk,45,50.0514,14.3175,"(50.0514, 14.3176)",3300000,Praha 13
2+kk,52,50.0512,14.3073,"(50.0513, 14.3074)",4100000,Praha 13
2+kk,60,50.0953,14.4535,"(50.0954, 14.4536)",7717000,Praha 8
2+kk,62,50.0524,14.5128,"(50.0525, 14.5129)",6950000,Praha 10
1+kk,28,50.0217,14.4219,"(50.0218, 14.4219)",2880000,Praha 4
4+kk,118,50.0694,14.484,"(50.0694, 14.484)",8990000,Praha 10
5+1,218,50.0768,14.462,"(50.0768, 14.462)",21500000,Praha 3
1+kk,18,50.0865,14.5134,"(50.0865, 14.5135)",2300000,Praha 10
1+kk,24,50.0865,14.5134,"(50.0865, 14.5134)",2600000,Praha 10
4+kk,88,50.065,14.4282,"(50.065, 14.4282)",8500000,Praha 2
2+kk,54,50.0909,14.2975,"(50.0909, 14.2975)",4674384,Praha 6
2+kk,36,50.0629,14.3057,"(50.063, 14.3058)",3750000,Praha 17
1+kk,33,50.1043,14.5854,"(50.1044, 14.5854)",3469000,Praha 14
4+kk,129,50.1057,14.5656,"(50.1057, 14.5656)",9990000,Praha 14
3+kk,136,50.0485,14.4373,"(50.0486, 14.4374)",23000000,Praha 4
3+kk,81,50.0953,14.4535,"(50.0954, 14.4536)",11856000,Praha 8
1+kk,37,50.0709,14.4472,"(50.071, 14.4472)",3700000,Praha 10
3+kk,100,50.0846,14.4834,"(50.0847, 14.4834)",9600000,Praha 3
4+1,178,50.0886,14.4699,"(50.0886, 14.47)",14900000,Praha 3
2+kk,58,50.0683,14.4042,"(50.0683, 14.4042)",8176000,Praha 5
2+1,60,50.0603,14.4967,"(50.0603, 14.4968)",4600000,Praha 10
2+kk,57,50.1155,14.5631,"(50.1155, 14.5631)",5500000,Praha 14
2+kk,43,50.0334,14.5287,"(50.0335, 14.5287)",4100000,Praha 11
1+kk,32,50.0902,14.492,"(50.0903, 14.4921)",4100000,Praha 3
2+kk,45,50.0382,14.3421,"(50.0383, 14.3422)",4300000,Praha 13
3+kk,67,50.0384,14.5654,"(50.0385, 14.5655)",4999999,Praha 15
4+kk,111,50.0135,14.3998,"(50.0136, 14.3998)",10874000,Praha 12
2+kk,50,50.0209,14.4026,"(50.021, 14.4027)",4916235,Praha 4
2+1,68,50.0157,14.4356,"(50.0158, 14.4357)",5100000,Praha 12
3+kk,97,50.1253,14.4753,"(50.1254, 14.4753)",9200000,Praha 8
3+kk,78,50.0953,14.4535,"(50.0954, 14.4536)",9527000,Praha 8
3+kk,99,50.0698,14.4169,"(50.0699, 14.417)",11900000,Praha 2
1+kk,51,50.0659,14.5507,"(50.066, 14.5508)",5180000,Dolni Mecholupy
1+kk,27,50.0589,14.496,"(50.0589, 14.4961)",2990000,Praha 10
3+kk,67,50.1264,14.4139,"(50.1264, 14.4139)",5500000,Praha 8
3+kk,65,50.0695,14.374,"(50.0695, 14.374)",3450000,Praha 5
3+kk,157,50.0297,14.3689,"(50.0297, 14.369)",8290000,Praha 5
1+kk,16,50.0793,14.4341,"(50.0793, 14.4341)",2970000,Praha 2
1+kk,16,50.0793,14.4341,"(50.0793, 14.4341)",2970000,Praha 2
1+kk,15,50.0793,14.4341,"(50.0793, 14.4341)",2970000,Praha 2
2+kk,58,50.0953,14.4535,"(50.0954, 14.4536)",8161000,Praha 8
4+kk,155,50.0683,14.4042,"(50.0683, 14.4042)",22317000,Praha 5
2+kk,58,50.1322,14.5359,"(50.1323, 14.536)",5490000,Praha 19
2+1,46,50.1118,14.4754,"(50.1119, 14.4754)",5200000,Praha 8
3+1,78,50.036,14.3732,"(50.0361, 14.3732)",6200000,Praha 5
4+1,125,50.0717,14.3832,"(50.0717, 14.3833)",10900000,Praha 5
3+kk,93,50.0135,14.3998,"(50.0136, 14.3998)",8754000,Praha 12
1+kk,35,50.0909,14.2975,"(50.0909, 14.2975)",3695687,Praha 6
3+1,80,50.0919,14.4803,"(50.0919, 14.4804)",7200000,Praha 3
3+1,90,50.1389,14.4287,"(50.139, 14.4287)",5300000,Praha 8
3+1,76,50.106,14.4766,"(50.1061, 14.4767)",5950000,Praha 8
1+1,50,50.0708,14.4876,"(50.0708, 14.4877)",5250000,Praha 10
3+1,114,50.0753,14.4494,"(50.0754, 14.4495)",13990000,Praha 10
