Districts,Population
Praha 1,29563
Praha 2,50363
Praha 3,76041
Praha 4,132068
Praha 5,88225
Praha 6,107213
Praha 7,45226
Praha 8,106218
Praha 9,60601
Praha 10,110571
Praha 11,77324
Praha 12,57821
Praha 13,63554
Praha 14,47761
Praha 15,34720
Praha 16,8694
Praha 17,24075
Praha 18,21516
Praha 19,7326
Praha 20,15652
Praha 21,10860
Praha 22,12559
Bechovice,2733
Benice,704
Brezineves,1754
Cakovice,11868
Dablice,3647
Dolni Chabry,4801
Dolni Mecholupy,3314
Dolni Pocernice,2709
Dubec,4023
Klanovice,3757
Kolodeje,1580
Kolovraty,3912
Kralovice,407
Kreslice,1117
Kunratice,10023
Libus,10623
Lipence,2911
Lochkov,828
Lysolaje,1509
Nebusice,3372
Nedvezi,333
Petrovice,6035
Predni Kopanina,693
Reporyje,5205
Satalice,2551
Seberov,3309
Slivenec,3696
Sterboholy,2367
Suchdol,7225
Troja,1426
Ujezd,3498
Velka Chuchle,2532
Vinor,4557
Zbraslav,10049
Zlicin,7258
