Title,Type,Area,Latitude,Longitude,Coordinates,Price(CZK)
"Byt 1+kk 43 m² k prodeji Hugo Haase, Praha 5 - Hlubočepy; 4 274 096 Kč (Uvedená cena nezahrnuje garážové stání, parkovací stání a případně komoru, sklep.), balkón, výtah, cihlová stavba, osobní vlastnictví, novostavby.",1+kk,43,50.0290,14.3622,"(50.029, 14.3623)",4274096
"Byt 3+kk 75 m² k prodeji Na Veselí, Praha 4 - Nusle; 7 990 000 Kč (včetně poplatků, včetně provize, včetně právního servisu), balkón, výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+kk,75,50.0560,14.4414,"(50.056, 14.4414)",7990000
"Byt 2+1 71 m² k prodeji Rooseveltova, Praha 6 - Bubeneč; 8 900 000 Kč, výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",2+1,71,50.1036,14.3994,"(50.1036, 14.3995)",8900000
"Byt 1+kk 27 m² k prodeji Střešovická, Praha 6 - Střešovice; 3 299 000 Kč, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+kk,27,50.0930,14.3773,"(50.0931, 14.3773)",3299000
"Byt 4+kk 100 m² k prodeji 5. května, Praha 4 - Nusle; 9 490 000 Kč, terasa, výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",4+kk,100,50.0610,14.4318,"(50.061, 14.4318)",9490000
"Byt 3+kk 193 m² k prodeji Černošická, Praha 5 - Lipence; 9 590 000 Kč, terasa, parkovací místo, výtah, skeletová stavba, osobní vlastnictví, novostavby.",3+kk,193,49.9601,14.3537,"(49.9601, 14.3538)",9590000
"Byt 3+1 74 m² k prodeji Dubrovnická, Praha 5 - Košíře; 5 300 000 Kč (cena včetně právního servisu a provize RK), lodžie, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+1,74,50.0667,14.3678,"(50.0668, 14.3679)",5300000
"Byt 2+kk 48 m² k prodeji Křižíkova, Praha 8 - Karlín; 8 000 000 Kč (včetně DPH), terasa, výtah, bezbariérový, smíšená stavba, osobní vlastnictví, novostavby.",2+kk,48,50.0920,14.4496,"(50.0921, 14.4496)",8000000
"Byt 5+kk 202 m² k prodeji Eliášova, Praha 6 - Dejvice; 18 500 000 Kč, terasa, výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",5+kk,202,50.0985,14.4019,"(50.0985, 14.402)",18500000
"Byt 4+kk 77 m² k prodeji Bryksova, Praha - Černý Most; 7 269 000 Kč, balkón, garáž, výtah, bezbariérový, nízkoenergetický, cihlová stavba, osobní vlastnictví, novostavby.",4+kk,77,50.1043,14.5854,"(50.1044, 14.5854)",7269000
"Byt 4+1 68 m² k prodeji Hvězdova, Praha 4 - Nusle; 6 590 000 Kč (včetně právního servisu), lodžie, výtah, bezbariérový, panelová stavba, osobní vlastnictví, v dobrém stavu.",4+1,68,50.0515,14.4370,"(50.0515, 14.4371)",6590000
"Byt 1+kk 40 m² k prodeji Rohanské nábřeží, Praha - Karlín; 5 490 000 Kč (Uvedená cena je včetně DPH, možnost přikoupení parkovacího stání od 575 000,-.), výtah, bezbariérový, skeletová stavba, osobní vlastnictví, ve výstavbě.",1+kk,40,50.0953,14.4535,"(50.0954, 14.4536)",5490000
"Byt 3+1 68 m² k prodeji Hvězdova, Praha 4 - Nusle; 6 590 000 Kč (včetně právního servisu), lodžie, výtah, bezbariérový, panelová stavba, osobní vlastnictví, v dobrém stavu.",3+1,68,50.0515,14.4370,"(50.0515, 14.4371)",6590000
"Byt 1+kk 39 m² k prodeji Choceradská, Praha 4 - Záběhlice; 4 039 497 Kč (Prodej přímo od developera, neplatíte provizi.), balkón, parkovací místo, garáž, výtah, skeletová stavba, osobní vlastnictví, ve výstavbě.",1+kk,39,50.0434,14.4915,"(50.0435, 14.4915)",4039497
"Byt 2+kk 54 m² k prodeji Choceradská, Praha 4 - Záběhlice; 5 394 411 Kč (Prodej přímo od developera, neplatíte provizi.), balkón, parkovací místo, garáž, výtah, smíšená stavba, osobní vlastnictví, ve výstavbě.",2+kk,54,50.0434,14.4914,"(50.0435, 14.4915)",5394411
"Byt 3+kk 79 m² k prodeji Choceradská, Praha 4 - Záběhlice; 7 878 371 Kč (Prodej přímo od developera, neplatíte provizi.), balkón, parkovací místo, garáž, výtah, smíšená stavba, osobní vlastnictví, ve výstavbě.",3+kk,79,50.0434,14.4914,"(50.0435, 14.4915)",7878371
"Byt 4+kk 75 m² k prodeji Praha 9 - Černý Most; 6 939 000 Kč, garáž, výtah, bezbariérový, nízkoenergetický, cihlová stavba, osobní vlastnictví, novostavby.",4+kk,75,50.1057,14.5656,"(50.1057, 14.5656)",6939000
"Byt 3+kk 77 m² k prodeji Praha 9; 7 139 000 Kč, balkón, parkovací místo, výtah, bezbariérový, cihlová stavba, osobní vlastnictví, novostavby.",3+kk,77,50.1069,14.5102,"(50.107, 14.5102)",7139000
"Byt 3+kk 77 m² k prodeji Bryksova, Praha - Černý Most; 7 119 000 Kč, balkón, garáž, výtah, bezbariérový, cihlová stavba, osobní vlastnictví, novostavby.",3+kk,77,50.1043,14.5854,"(50.1044, 14.5854)",7119000
"Byt 2+kk 62 m² k prodeji Za Ženskými domovy, Praha - Smíchov; 8 428 000 Kč (cena obsahuje DPH a sklep, cena neobsahuje parkovací stání, které je možné přikoupit za cenu od 500.tis + DPH), balkón, výtah, nízkoenergetický, skeletová stavba, osobní vlastnictví, novostavby.",2+kk,62,50.0683,14.4042,"(50.0683, 14.4042)",8428000
"Byt 2+kk 52 m² k prodeji Čajkovského, Praha 3 - Žižkov; 6 985 000 Kč (Cena je konečná. Neplatíte provizi.), výtah, cihlová stavba, osobní vlastnictví, po rekonstrukci.",2+kk,52,50.0829,14.4517,"(50.0829, 14.4518)",6985000
"Byt 3+kk 71 m² k prodeji Na Zámyšli, Praha 5 - Košíře; 7 000 000 Kč (Cena včetně provize a právních služeb), balkón, cihlová stavba, osobní vlastnictví, v dobrém stavu.",3+kk,71,50.0695,14.3740,"(50.0695, 14.374)",7000000
"Byt 1+kk 71 m² k prodeji Pavla Beneše, Praha 9 - Letňany; 4 150 000 Kč (+ provize RK), terasa, parkovací místo, cihlová stavba, osobní vlastnictví, novostavby.",1+kk,71,50.1386,14.5182,"(50.1387, 14.5182)",4150000
"Byt 4+kk 174 m² k prodeji Pýchavková, Praha 10 - Pitkovice; 10 490 000 Kč (+ provize RK), terasa, parkovací místo, garáž, výtah, bezbariérový, cihlová stavba, osobní vlastnictví, novostavby.",4+kk,174,50.0166,14.5815,"(50.0167, 14.5816)",10490000
"Byt 1+kk 37 m² k prodeji Praha 9 - Černý Most; 3 569 000 Kč, parkovací místo, cihlová stavba, osobní vlastnictví, novostavby.",1+kk,37,50.1057,14.5656,"(50.1057, 14.5656)",3569000
"Byt 3+kk 105 m² k prodeji Milánská, Praha - Horní Měcholupy; 7 100 000 Kč, výtah, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+kk,105,50.0417,14.5518,"(50.0418, 14.5519)",7100000
"Byt 2+kk 54 m² k prodeji Praha 9; 4 799 000 Kč, parkovací místo, cihlová stavba, osobní vlastnictví, novostavby.",2+kk,54,50.1069,14.5102,"(50.107, 14.5102)",4799000
"Byt 5+kk 235 m² k prodeji Divadelní, Praha 1 - Staré Město; 79 000 000 Kč, parkovací místo, výtah, skeletová stavba, osobní vlastnictví, novostavby.",5+kk,235,50.0833,14.4139,"(50.0833, 14.4139)",79000000
"Byt 1+kk 36 m² k prodeji Vorařská, Praha 4 - Modřany; 4 159 000 Kč (konečná cena včetně DPH, včetně DPH), terasa, výtah, bezbariérový, nízkoenergetický, skeletová stavba, osobní vlastnictví, novostavby.",1+kk,36,50.0135,14.3998,"(50.0136, 14.3998)",4159000
"Byt 2+kk 54 m² k prodeji Zimova, Praha - Kamýk; 4 150 000 Kč (Včetně právního servisu), lodžie, výtah, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",2+kk,54,50.0066,14.4524,"(50.0067, 14.4525)",4150000
"Byt 2+kk 45 m² k prodeji Chalabalova, Praha - Stodůlky; 3 300 000 Kč (Včetně právního servisu), výtah, panelová stavba, družstevní vlastnictví, v dobrém stavu.",2+kk,45,50.0514,14.3175,"(50.0514, 14.3176)",3300000
"Byt 2+kk 52 m² k prodeji Líšnická, Praha - Stodůlky; 4 100 000 Kč, cihlová stavba, družstevní vlastnictví, ve velmi dobrém stavu.",2+kk,52,50.0512,14.3073,"(50.0513, 14.3074)",4100000
"Byt 2+kk 60 m² k prodeji Rohanské nábřeží, Praha - Karlín; 7 717 000 Kč (Uvedená cena je včetně DPH, možnost přikoupení parkovacího stání od 575 000,-.), terasa, výtah, bezbariérový, skeletová stavba, osobní vlastnictví, ve výstavbě.",2+kk,60,50.0953,14.4535,"(50.0954, 14.4536)",7717000
"Byt 2+kk 62 m² k prodeji Mattioliho, Praha 10 - Záběhlice; 6 950 000 Kč (Včetně všech služeb RK), terasa, parkovací místo, garáž, výtah, cihlová stavba, osobní vlastnictví, novostavby.",2+kk,62,50.0524,14.5128,"(50.0525, 14.5129)",6950000
"Byt 1+kk 28 m² k prodeji Klánova, Praha 4 - Hodkovičky; 2 880 000 Kč, parkovací místo, cihlová stavba, družstevní vlastnictví, ve velmi dobrém stavu.",1+kk,28,50.0217,14.4219,"(50.0218, 14.4219)",2880000
"Byt 4+kk 118 m² k prodeji U Hranic, Praha 10 - Strašnice; 8 990 000 Kč, výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",4+kk,118,50.0694,14.4840,"(50.0694, 14.484)",8990000
"Byt 5+1 218 m² k prodeji Slezská, Praha 3 - Vinohrady; 21 500 000 Kč (Nabídková cena včetně právního servisu a provize RK), cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",5+1,218,50.0768,14.4620,"(50.0768, 14.462)",21500000
